Question_ID,SEN_Category,Age_Group,Subject,Teacher_Query,Created_Date,LLM_Response_1_Type,LLM_Response_1_Content,LLM_Response_1_Quality,LLM_Response_2_Type,LLM_Response_2_Content,LLM_Response_2_Quality,LLM_Response_3_Type,LLM_Response_3_Content,LLM_Response_3_Quality,LLM_Response_4_Type,LLM_Response_4_Content,LLM_Response_4_Quality
query_20251118_152215_6307,MLD,Key Stage 2 (7-11),PE,What specific kinaesthetic resources or differentiation techniques are recommended for adapting a PE lesson to meet the needs of a Key Stage 2 (7-11) student with Moderate Learning Difficulties who is dealing with general academic underachievement?,2025-11-18T15:22:15.169997,Behavioral,Use positive behavior support strategies with clear expectations. Implement a token economy system and teach self-regulation techniques.,0.6809540435800666,Social,Implement peer buddy systems and social stories. Practice social skills explicitly and provide opportunities for structured social interaction.,0.8277704577279756,Instructional,"Break tasks into smaller, manageable steps with visual cues. Use multi-sensory teaching approaches and provide frequent positive reinforcement.",0.8032246209335554,Assessment,Modify assessment methods using alternative formats. Allow extra time and provide assistive technology where appropriate.,0.862135029292383
query_20251118_152215_8283,MLD,Early Years (3-5),English,"A teacher has a Early Years (3-5) student with Moderate Learning Difficulties struggling with English. What are the **three most effective, quick-to-implement** intervention strategies for this specific memory recall challenges?",2025-11-18T15:22:15.170020,Instructional,"Break tasks into smaller, manageable steps with visual cues. Use multi-sensory teaching approaches and provide frequent positive reinforcement.",0.8248482897089903,Social,Implement peer buddy systems and social stories. Practice social skills explicitly and provide opportunities for structured social interaction.,0.6056310711778247,Assessment,Modify assessment methods using alternative formats. Allow extra time and provide assistive technology where appropriate.,0.6356335952293188,Behavioral,Use positive behavior support strategies with clear expectations. Implement a token economy system and teach self-regulation techniques.,0.6692210597913273
query_20251118_152215_6118,SLCN,Key Stage 3 (11-14),English,"When a Key Stage 3 (11-14) student with Speech, Language, Communication Needs exhibits improving oral contribution during group work during group discussion, what is the recommended school policy or best practice for de-escalation and positive behavior support in a mainstream/SEN school setting?",2025-11-18T15:22:15.170034,Social,Implement peer buddy systems and social stories. Practice social skills explicitly and provide opportunities for structured social interaction.,0.8989406763134034,Behavioral,Use positive behavior support strategies with clear expectations. Implement a token economy system and teach self-regulation techniques.,0.7746119666155847,Assessment,Modify assessment methods using alternative formats. Allow extra time and provide assistive technology where appropriate.,0.8759887893063645,Environmental,"Create a calm, structured environment with visual supports and clear routines. Use noise-cancelling headphones if needed and provide a designated quiet space for breaks.",0.6633342751539008
query_20251118_152215_4415,SEMH,Key Stage 2 (7-11),Science,"A teacher has a Key Stage 2 (7-11) student with Social, Emotional, Mental Health struggling with Science. What are the **three most effective, quick-to-implement** intervention strategies for this specific re-integrating after a significant emotional outburst?",2025-11-18T15:22:15.170046,Behavioral,Use positive behavior support strategies with clear expectations. Implement a token economy system and teach self-regulation techniques.,0.6621784781368535,Environmental,"Create a calm, structured environment with visual supports and clear routines. Use noise-cancelling headphones if needed and provide a designated quiet space for breaks.",0.6389023186089962,Assessment,Modify assessment methods using alternative formats. Allow extra time and provide assistive technology where appropriate.,0.916627237616608,Instructional,"Break tasks into smaller, manageable steps with visual cues. Use multi-sensory teaching approaches and provide frequent positive reinforcement.",0.7760677746398698
query_20251118_152215_4258,ADHD,Key Stage 1 (5-7),English,"When a Key Stage 1 (5-7) student with Attention Deficit Hyperactivity Disorder exhibits consistent difficulty maintaining focus on multi-step tasks during break time, what is the recommended school policy or best practice for de-escalation and positive behavior support in a mainstream/SEN school setting?",2025-11-18T15:22:15.170057,Social,Implement peer buddy systems and social stories. Practice social skills explicitly and provide opportunities for structured social interaction.,0.6711290113227084,Assessment,Modify assessment methods using alternative formats. Allow extra time and provide assistive technology where appropriate.,0.8511716777029842,Behavioral,Use positive behavior support strategies with clear expectations. Implement a token economy system and teach self-regulation techniques.,0.7318948808460545,Instructional,"Break tasks into smaller, manageable steps with visual cues. Use multi-sensory teaching approaches and provide frequent positive reinforcement.",0.7398135192234518
query_20251118_152215_3236,ADHD,Early Years (3-5),Life Skills,What are measurable and achievable Individual Education Plan (IEP) goals for a Early Years (3-5) student with Attention Deficit Hyperactivity Disorder who is currently exhibiting organizing materials and completing work on time in Life Skills?,2025-11-18T15:22:15.170068,Behavioral,Use positive behavior support strategies with clear expectations. Implement a token economy system and teach self-regulation techniques.,0.8303234370834491,Assessment,Modify assessment methods using alternative formats. Allow extra time and provide assistive technology where appropriate.,0.7315080791929727,Instructional,"Break tasks into smaller, manageable steps with visual cues. Use multi-sensory teaching approaches and provide frequent positive reinforcement.",0.8611357692938553,Environmental,"Create a calm, structured environment with visual supports and clear routines. Use noise-cancelling headphones if needed and provide a designated quiet space for breaks.",0.8439058983756904
query_20251118_152215_5365,HI,Key Stage 3 (11-14),PE,What are measurable and achievable Individual Education Plan (IEP) goals for a Key Stage 3 (11-14) student with Hearing Impairment who is currently exhibiting ensuring full access to verbal instruction in PE?,2025-11-18T15:22:15.170079,Instructional,"Break tasks into smaller, manageable steps with visual cues. Use multi-sensory teaching approaches and provide frequent positive reinforcement.",0.6980869110768069,Assessment,Modify assessment methods using alternative formats. Allow extra time and provide assistive technology where appropriate.,0.7732494814426338,Behavioral,Use positive behavior support strategies with clear expectations. Implement a token economy system and teach self-regulation techniques.,0.6651453683092571,Social,Implement peer buddy systems and social stories. Practice social skills explicitly and provide opportunities for structured social interaction.,0.8946279242612876
query_20251118_152215_3069,PD,Key Stage 1 (5-7),Life Skills,"When a Key Stage 1 (5-7) student with Physical Disability exhibits accessible resources in Art during assessment, what is the recommended school policy or best practice for de-escalation and positive behavior support in a mainstream/SEN school setting?",2025-11-18T15:22:15.170089,Instructional,"Break tasks into smaller, manageable steps with visual cues. Use multi-sensory teaching approaches and provide frequent positive reinforcement.",0.6099766447367431,Behavioral,Use positive behavior support strategies with clear expectations. Implement a token economy system and teach self-regulation techniques.,0.9430090291999415,Environmental,"Create a calm, structured environment with visual supports and clear routines. Use noise-cancelling headphones if needed and provide a designated quiet space for breaks.",0.9378363161630974,Assessment,Modify assessment methods using alternative formats. Allow extra time and provide assistive technology where appropriate.,0.9171841012400841
query_20251118_152215_6063,ADHD,Key Stage 2 (7-11),Social Skills,What are measurable and achievable Individual Education Plan (IEP) goals for a Key Stage 2 (7-11) student with Attention Deficit Hyperactivity Disorder who is currently exhibiting fidgeting/motor restlessness distracting other students in Social Skills?,2025-11-18T15:22:15.170100,Behavioral,Use positive behavior support strategies with clear expectations. Implement a token economy system and teach self-regulation techniques.,0.7344450085182432,Social,Implement peer buddy systems and social stories. Practice social skills explicitly and provide opportunities for structured social interaction.,0.8266470760217036,Environmental,"Create a calm, structured environment with visual supports and clear routines. Use noise-cancelling headphones if needed and provide a designated quiet space for breaks.",0.756385637429497,Instructional,"Break tasks into smaller, manageable steps with visual cues. Use multi-sensory teaching approaches and provide frequent positive reinforcement.",0.7484448951007061
query_20251118_152215_7264,ADHD,Key Stage 2 (7-11),English,"A teacher has a Key Stage 2 (7-11) student with Attention Deficit Hyperactivity Disorder struggling with English. What are the **three most effective, quick-to-implement** intervention strategies for this specific organizing materials and completing work on time?",2025-11-18T15:22:15.170110,Assessment,Modify assessment methods using alternative formats. Allow extra time and provide assistive technology where appropriate.,0.927050846877448,Social,Implement peer buddy systems and social stories. Practice social skills explicitly and provide opportunities for structured social interaction.,0.6395799572445675,Behavioral,Use positive behavior support strategies with clear expectations. Implement a token economy system and teach self-regulation techniques.,0.7026681599575535,Instructional,"Break tasks into smaller, manageable steps with visual cues. Use multi-sensory teaching approaches and provide frequent positive reinforcement.",0.8714206767552988
