Question_ID,SEN_Category,Age_Group,Subject,Teacher_Query,Difficulty_Level,Created_Date,GPT4o_Response_1_Type,GPT4o_Response_1_Content,GPT4o_Response_1_Quality,GPT4o_Response_2_Type,GPT4o_Response_2_Content,GPT4o_Response_2_Quality,GPT4o_Response_3_Type,GPT4o_Response_3_Content,GPT4o_Response_3_Quality,GPT4o_Response_4_Type,GPT4o_Response_4_Content,GPT4o_Response_4_Quality,Gemini_25_Pro_Response_1_Type,Gemini_25_Pro_Response_1_Content,Gemini_25_Pro_Response_1_Quality,Gemini_25_Pro_Response_2_Type,Gemini_25_Pro_Response_2_Content,Gemini_25_Pro_Response_2_Quality,Gemini_25_Pro_Response_3_Type,Gemini_25_Pro_Response_3_Content,Gemini_25_Pro_Response_3_Quality,Gemini_25_Pro_Response_4_Type,Gemini_25_Pro_Response_4_Content,Gemini_25_Pro_Response_4_Quality,Llama_3_Response_1_Type,Llama_3_Response_1_Content,Llama_3_Response_1_Quality,Llama_3_Response_2_Type,Llama_3_Response_2_Content,Llama_3_Response_2_Quality,Llama_3_Response_3_Type,Llama_3_Response_3_Content,Llama_3_Response_3_Quality,Llama_3_Response_4_Type,Llama_3_Response_4_Content,Llama_3_Response_4_Quality,Mistral_Large_Response_1_Type,Mistral_Large_Response_1_Content,Mistral_Large_Response_1_Quality,Mistral_Large_Response_2_Type,Mistral_Large_Response_2_Content,Mistral_Large_Response_2_Quality,Mistral_Large_Response_3_Type,Mistral_Large_Response_3_Content,Mistral_Large_Response_3_Quality,Mistral_Large_Response_4_Type,Mistral_Large_Response_4_Content,Mistral_Large_Response_4_Quality
query_20251118_154741_9581,ASD,Key Stage 4 (14-16),Art,What specific digital resources or differentiation techniques are recommended for adapting a Art lesson to meet the needs of a Key Stage 4 (14-16) student with Autism Spectrum Disorder who is dealing with sensory overload in a busy classroom?,Low,2025-11-18T15:47:41.815112,Social,(GPT-4o) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.9388071247949978,Instructional,"(GPT-4o) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.9298714962466478,Behavioral,"(GPT-4o) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.7117343603662476,Environmental,"(GPT-4o) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.838578410043949,Social,(Gemini 25 Pro) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.7543009403958417,Instructional,"(Gemini 25 Pro) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.7977621699050482,Behavioral,"(Gemini 25 Pro) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.7822306246849985,Assessment,"(Gemini 25 Pro) Use alternative assessment formats (e.g., oral presentation, video recording) and focus IEP goals on functional skills development rather than pure academic metrics.",0.7252867679054417,Behavioral,"(Llama 3) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8480346341339985,Social,(Llama 3) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.7794767185080224,Environmental,"(Llama 3) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.866158348313725,Instructional,"(Llama 3) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.7996625983228225,Environmental,"(Mistral Large) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.7222609435147374,Instructional,"(Mistral Large) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.7958073401990785,Behavioral,"(Mistral Large) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8163092705855655,Social,(Mistral Large) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.7475923883992179
query_20251118_154741_1588,ASD,Early Years (3-5),PE,"How can a teacher best communicate concerns about sensory overload in a busy classroom to the parents/carers of a student with Autism Spectrum Disorder in Early Years (3-5), ensuring a collaborative approach?",Medium,2025-11-18T15:47:41.815143,Environmental,"(GPT-4o) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.7941074254403953,Behavioral,"(GPT-4o) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.799595940860608,Social,(GPT-4o) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.8104836971063109,Instructional,"(GPT-4o) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.8547638319341386,Assessment,"(Gemini 25 Pro) Use alternative assessment formats (e.g., oral presentation, video recording) and focus IEP goals on functional skills development rather than pure academic metrics.",0.7788927463335934,Behavioral,"(Gemini 25 Pro) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.6282648016270767,Instructional,"(Gemini 25 Pro) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.7373835622905294,Social,(Gemini 25 Pro) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.8611402582762049,Behavioral,"(Llama 3) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8015569593556294,Environmental,"(Llama 3) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.7208032131145673,Instructional,"(Llama 3) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.8447401238614923,Social,(Llama 3) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.771087050886831,Environmental,"(Mistral Large) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.7462610697296508,Behavioral,"(Mistral Large) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8473483395286971,Instructional,"(Mistral Large) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.6808744497747695,Social,(Mistral Large) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.6936908602974011
query_20251118_154741_5053,PD,Key Stage 4 (14-16),PE,"How can a teacher best communicate concerns about accessible resources in Art to the parents/carers of a student with Physical Disability in Key Stage 4 (14-16), ensuring a collaborative approach?",Medium,2025-11-18T15:47:41.815168,Instructional,"(GPT-4o) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.8546175699083538,Social,(GPT-4o) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.9399161150158692,Environmental,"(GPT-4o) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.905645755995319,Behavioral,"(GPT-4o) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8048074887678651,Assessment,"(Gemini 25 Pro) Use alternative assessment formats (e.g., oral presentation, video recording) and focus IEP goals on functional skills development rather than pure academic metrics.",0.7831442200779034,Instructional,"(Gemini 25 Pro) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.7133922222072206,Social,(Gemini 25 Pro) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.7690455294731332,Behavioral,"(Gemini 25 Pro) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8175497873206528,Environmental,"(Llama 3) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.8170476051236969,Instructional,"(Llama 3) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.6412734470672095,Behavioral,"(Llama 3) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.6598581530138575,Social,(Llama 3) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.8176374668578374,Environmental,"(Mistral Large) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.6598491921823737,Instructional,"(Mistral Large) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.6616331302171047,Behavioral,"(Mistral Large) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.6239712955764994,Social,(Mistral Large) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.6091398798010021
query_20251118_154741_3808,PD,Key Stage 2 (7-11),English,What specific low-tech resources or differentiation techniques are recommended for adapting a English lesson to meet the needs of a Key Stage 2 (7-11) student with Physical Disability who is dealing with managing fatigue during a full school day?,Low,2025-11-18T15:47:41.815192,Social,(GPT-4o) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.8189723602827652,Environmental,"(GPT-4o) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.7007712507509939,Instructional,"(GPT-4o) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.8910537716772998,Behavioral,"(GPT-4o) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.9334160531143292,Behavioral,"(Gemini 25 Pro) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.7688325513735589,Assessment,"(Gemini 25 Pro) Use alternative assessment formats (e.g., oral presentation, video recording) and focus IEP goals on functional skills development rather than pure academic metrics.",0.8215044711709233,Instructional,"(Gemini 25 Pro) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.6559136409376148,Social,(Gemini 25 Pro) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.8321801363720699,Environmental,"(Llama 3) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.7484349809714294,Behavioral,"(Llama 3) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.7412871944734778,Social,(Llama 3) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.8050559102534607,Instructional,"(Llama 3) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.7104185326465531,Environmental,"(Mistral Large) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.6407738808436529,Social,(Mistral Large) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.6410603736964123,Instructional,"(Mistral Large) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.6619745517768078,Behavioral,"(Mistral Large) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.7009109995234815
query_20251118_154741_1426,ADHD,Key Stage 1 (5-7),PE,What specific visual resources or differentiation techniques are recommended for adapting a PE lesson to meet the needs of a Key Stage 1 (5-7) student with Attention Deficit Hyperactivity Disorder who is dealing with consistent difficulty maintaining focus on multi-step tasks?,Medium,2025-11-18T15:47:41.815217,Behavioral,"(GPT-4o) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8497000885392225,Environmental,"(GPT-4o) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.8331034556544018,Instructional,"(GPT-4o) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.7380221707524016,Social,(GPT-4o) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.7873683452989666,Behavioral,"(Gemini 25 Pro) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8037420177250612,Instructional,"(Gemini 25 Pro) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.669683953920957,Assessment,"(Gemini 25 Pro) Use alternative assessment formats (e.g., oral presentation, video recording) and focus IEP goals on functional skills development rather than pure academic metrics.",0.7131261077145237,Social,(Gemini 25 Pro) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.7920916736195692,Instructional,"(Llama 3) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.8375512777468883,Social,(Llama 3) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.7138076629609468,Environmental,"(Llama 3) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.8311960532543049,Behavioral,"(Llama 3) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8131085714199258,Environmental,"(Mistral Large) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.849980085645618,Behavioral,"(Mistral Large) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8356773062414901,Instructional,"(Mistral Large) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.8958556477870749,Social,(Mistral Large) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.8792310159648524
query_20251118_154741_9205,ADHD,Key Stage 2 (7-11),PE,"A teacher has a Key Stage 2 (7-11) student with Attention Deficit Hyperactivity Disorder struggling with PE. What are the **three most effective, quick-to-implement** intervention strategies for this specific managing impulsive interruptions during whole-class instruction?",Low,2025-11-18T15:47:41.815242,Social,(GPT-4o) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.7824123544687629,Environmental,"(GPT-4o) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.8487384315051275,Behavioral,"(GPT-4o) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.7496377525687097,Instructional,"(GPT-4o) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.9256237954790524,Social,(Gemini 25 Pro) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.8166564743277573,Behavioral,"(Gemini 25 Pro) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8367810415278837,Assessment,"(Gemini 25 Pro) Use alternative assessment formats (e.g., oral presentation, video recording) and focus IEP goals on functional skills development rather than pure academic metrics.",0.7716456977797086,Instructional,"(Gemini 25 Pro) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.6687683190740483,Instructional,"(Llama 3) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.6939959435772807,Environmental,"(Llama 3) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.7293892103942864,Behavioral,"(Llama 3) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.7337602517777619,Social,(Llama 3) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.6404876264572886,Behavioral,"(Mistral Large) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.7551166833599241,Social,(Mistral Large) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.8140501051722198,Environmental,"(Mistral Large) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.6576550040379064,Instructional,"(Mistral Large) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.8529753738372192
query_20251118_154741_8822,SPLD,Early Years (3-5),Social Skills,"When a Early Years (3-5) student with Specific Learning Difficulties exhibits decoding and reading fluency during assessment, what is the recommended school policy or best practice for de-escalation and positive behavior support in a mainstream/SEN school setting?",Medium,2025-11-18T15:47:41.815266,Environmental,"(GPT-4o) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.7678631673920573,Instructional,"(GPT-4o) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.7197163629215391,Behavioral,"(GPT-4o) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8245736789898621,Social,(GPT-4o) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.8695429275710511,Instructional,"(Gemini 25 Pro) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.6228784002065816,Assessment,"(Gemini 25 Pro) Use alternative assessment formats (e.g., oral presentation, video recording) and focus IEP goals on functional skills development rather than pure academic metrics.",0.745886055764365,Social,(Gemini 25 Pro) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.6141799678167859,Behavioral,"(Gemini 25 Pro) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.664419333825794,Behavioral,"(Llama 3) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.6097081248885742,Social,(Llama 3) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.6057207565813658,Instructional,"(Llama 3) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.8703047552731671,Environmental,"(Llama 3) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.7922650627824688,Environmental,"(Mistral Large) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.6951973949320266,Social,(Mistral Large) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.6641914356334918,Instructional,"(Mistral Large) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.6409907991397954,Behavioral,"(Mistral Large) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8063503412041968
query_20251118_154741_9646,VI,Key Stage 3 (11-14),Life Skills,What are measurable and achievable Individual Education Plan (IEP) goals for a Key Stage 3 (11-14) student with Visual Impairment who is currently exhibiting adapting visual worksheets in Math in Life Skills?,Low,2025-11-18T15:47:41.815292,Behavioral,"(GPT-4o) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8644972945988251,Environmental,"(GPT-4o) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.7127734526261161,Instructional,"(GPT-4o) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.9202182042033746,Social,(GPT-4o) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.7003079689839256,Behavioral,"(Gemini 25 Pro) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.6737786454758229,Social,(Gemini 25 Pro) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.8557824806819663,Instructional,"(Gemini 25 Pro) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.8194320034128637,Assessment,"(Gemini 25 Pro) Use alternative assessment formats (e.g., oral presentation, video recording) and focus IEP goals on functional skills development rather than pure academic metrics.",0.6617404182352754,Behavioral,"(Llama 3) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8214186195698059,Environmental,"(Llama 3) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.7042604129786099,Social,(Llama 3) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.7086052583845597,Instructional,"(Llama 3) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.6122079738776693,Environmental,"(Mistral Large) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.8539534361099675,Behavioral,"(Mistral Large) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8829473839425661,Instructional,"(Mistral Large) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.6284072060507045,Social,(Mistral Large) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.6001912754469586
query_20251118_154741_2236,ADHD,Key Stage 4 (14-16),Mathematics,What are measurable and achievable Individual Education Plan (IEP) goals for a Key Stage 4 (14-16) student with Attention Deficit Hyperactivity Disorder who is currently exhibiting managing impulsive interruptions during whole-class instruction in Mathematics?,Medium,2025-11-18T15:47:41.815317,Environmental,"(GPT-4o) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.8569883034182666,Behavioral,"(GPT-4o) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8377794982399556,Social,(GPT-4o) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.7570529943353147,Instructional,"(GPT-4o) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.9389002658949686,Assessment,"(Gemini 25 Pro) Use alternative assessment formats (e.g., oral presentation, video recording) and focus IEP goals on functional skills development rather than pure academic metrics.",0.685258936261554,Instructional,"(Gemini 25 Pro) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.879793460520794,Social,(Gemini 25 Pro) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.7935962718075182,Behavioral,"(Gemini 25 Pro) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.6359518443836394,Behavioral,"(Llama 3) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.7978398165825894,Environmental,"(Llama 3) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.8459694737519028,Instructional,"(Llama 3) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.6353414850050405,Social,(Llama 3) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.6906876077849972,Instructional,"(Mistral Large) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.8453047899072963,Social,(Mistral Large) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.7665724883679202,Behavioral,"(Mistral Large) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.6275549179313968,Environmental,"(Mistral Large) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.6406985729388374
query_20251118_154741_3349,MLD,Key Stage 3 (11-14),English,What are measurable and achievable Individual Education Plan (IEP) goals for a Key Stage 3 (11-14) student with Moderate Learning Difficulties who is currently exhibiting general academic underachievement in English?,Medium,2025-11-18T15:47:41.815340,Instructional,"(GPT-4o) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.7562628767432822,Behavioral,"(GPT-4o) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.7657480150804178,Environmental,"(GPT-4o) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.7075706842901364,Social,(GPT-4o) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.7800870005881244,Instructional,"(Gemini 25 Pro) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.8547043917212125,Behavioral,"(Gemini 25 Pro) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.7179738008564318,Assessment,"(Gemini 25 Pro) Use alternative assessment formats (e.g., oral presentation, video recording) and focus IEP goals on functional skills development rather than pure academic metrics.",0.843049955496376,Social,(Gemini 25 Pro) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.731864902837013,Social,(Llama 3) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.8588343695448803,Behavioral,"(Llama 3) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.8229276440322663,Environmental,"(Llama 3) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.6672093978444328,Instructional,"(Llama 3) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.766142431896732,Environmental,"(Mistral Large) Structure the learning space; provide a quiet corner, use visual timetables, and ensure minimal clutter to manage sensory input.",0.6747125801389948,Instructional,"(Mistral Large) Simplify instructions into visual, multi-step checklists. Use immediate, frequent positive reinforcement tied to effort, not just outcome.",0.7515741936234749,Behavioral,"(Mistral Large) Establish clear, co-created classroom rules. Use a points/token system focused on self-regulation and impulse control, with specific, non-judgmental feedback.",0.7836786302575792,Social,(Mistral Large) Implement a structured peer-buddy system specific to the activity. Role-play social interactions and use brief 'social stories' before lessons.,0.7377713853788157
